external_urls/spotify,followers/href,followers/total,genres/0,genres/1,href,id,images/0/height,images/0/url,images/0/width,images/1/height,images/1/url,images/1/width,images/2/height,images/2/url,images/2/width,name,popularity,type,uri,genres/2,genres/3,genres/4,genres/5,genres/6,genres/7,genres/8,images/3/height,images/3/url,images/3/width,genres/9,genres/10
https://open.spotify.com/artist/6KhH771vq2X2Aom91nNzpZ,,356051,k-pop,k-pop boy group,https://api.spotify.com/v1/artists/6KhH771vq2X2Aom91nNzpZ,6KhH771vq2X2Aom91nNzpZ,640,https://i.scdn.co/image/db43df998393e6d45a97377144746d11a46bcf31,640,320,https://i.scdn.co/image/7a242578f68199b18528e3613738a46eaf804849,320,160,https://i.scdn.co/image/743acd01fa797df0465feecd4cd69942c44d2191,160,FTISLAND,51,artist,spotify:artist:6KhH771vq2X2Aom91nNzpZ,k-rock,korean pop,,,,,,,,,,
https://open.spotify.com/artist/0jUn8CXobOt0IixyR72una,,101027,k-pop,korean pop,https://api.spotify.com/v1/artists/0jUn8CXobOt0IixyR72una,0jUn8CXobOt0IixyR72una,640,https://i.scdn.co/image/ab67616d0000b273d5d83edd775c0205010b6bd4,640,300,https://i.scdn.co/image/ab67616d00001e02d5d83edd775c0205010b6bd4,300,64,https://i.scdn.co/image/ab67616d00004851d5d83edd775c0205010b6bd4,64,Rothy,51,artist,spotify:artist:0jUn8CXobOt0IixyR72una,,,,,,,,,,,,
https://open.spotify.com/artist/73B9bjqS2Z5KLXNGqXf64m,,52908,k-pop,,https://api.spotify.com/v1/artists/73B9bjqS2Z5KLXNGqXf64m,73B9bjqS2Z5KLXNGqXf64m,640,https://i.scdn.co/image/ab67616d0000b273605684158f92c13ab5306f59,640,300,https://i.scdn.co/image/ab67616d00001e02605684158f92c13ab5306f59,300,64,https://i.scdn.co/image/ab67616d00004851605684158f92c13ab5306f59,64,Weeekly,47,artist,spotify:artist:73B9bjqS2Z5KLXNGqXf64m,,,,,,,,,,,,
https://open.spotify.com/artist/0kRAVpQhUUArA8UnYwEdeZ,,51746,k-indie,k-pop,https://api.spotify.com/v1/artists/0kRAVpQhUUArA8UnYwEdeZ,0kRAVpQhUUArA8UnYwEdeZ,640,https://i.scdn.co/image/50febecbfc138a06804fc4ddca4713e425cdc0bd,640,320,https://i.scdn.co/image/b6af93eb1f9c388ebb9477e5122fd81f69ac0f95,320,160,https://i.scdn.co/image/7df51fdbd75ec3a3af4633b4d4b0c9d45fabd4b5,160,Kwon Jin Ah,49,artist,spotify:artist:0kRAVpQhUUArA8UnYwEdeZ,korean pop,,,,,,,,,,,
https://open.spotify.com/artist/2frFGmni9tkRgXYdXmzQvR,,21270,korean pop,,https://api.spotify.com/v1/artists/2frFGmni9tkRgXYdXmzQvR,2frFGmni9tkRgXYdXmzQvR,640,https://i.scdn.co/image/ab67616d0000b273e376fd9f5d32901a7d4cc3b3,640,300,https://i.scdn.co/image/ab67616d00001e02e376fd9f5d32901a7d4cc3b3,300,64,https://i.scdn.co/image/ab67616d00004851e376fd9f5d32901a7d4cc3b3,64,Shin Yong Jae,47,artist,spotify:artist:2frFGmni9tkRgXYdXmzQvR,,,,,,,,,,,,
https://open.spotify.com/artist/0yvw5zYym2ZnM2vngHvfWW,,417990,k-pop,,https://api.spotify.com/v1/artists/0yvw5zYym2ZnM2vngHvfWW,0yvw5zYym2ZnM2vngHvfWW,1000,https://i.scdn.co/image/f79d19046ecb45996ed91e57a5d9165ed436b8e1,1000,640,https://i.scdn.co/image/2e04ee46b3568cc7efab9be3b00113f74a4e2b38,640,200,https://i.scdn.co/image/26416885d3cff5547d8b8176d25f14abeb34ea42,200,JJ Project,49,artist,spotify:artist:0yvw5zYym2ZnM2vngHvfWW,,,,,,,,64,https://i.scdn.co/image/f90c48f0f60b8dd6e74a3c6352a8064cb2e16a23,64,,
https://open.spotify.com/artist/7LdZwtnhfB1GoC9SE9tvyb,,119468,k-pop,korean pop,https://api.spotify.com/v1/artists/7LdZwtnhfB1GoC9SE9tvyb,7LdZwtnhfB1GoC9SE9tvyb,640,https://i.scdn.co/image/ab67616d0000b27372e6fa9f9eb8029790faec11,640,300,https://i.scdn.co/image/ab67616d00001e0272e6fa9f9eb8029790faec11,300,64,https://i.scdn.co/image/ab67616d0000485172e6fa9f9eb8029790faec11,64,KIM JAE HWAN,52,artist,spotify:artist:7LdZwtnhfB1GoC9SE9tvyb,,,,,,,,,,,,
https://open.spotify.com/artist/42xj5mBLvrFdW6tYns6mxs,,149908,k-pop,k-rap,https://api.spotify.com/v1/artists/42xj5mBLvrFdW6tYns6mxs,42xj5mBLvrFdW6tYns6mxs,640,https://i.scdn.co/image/1361cfe908eb11693744a78dd2568bf912cc424d,640,320,https://i.scdn.co/image/ac932083a2630d1e85fdd65f032810c9e5175b08,320,160,https://i.scdn.co/image/57e534ebfd10f3312e3515b078553e7af15f97d6,160,RAVI,50,artist,spotify:artist:42xj5mBLvrFdW6tYns6mxs,,,,,,,,,,,,
https://open.spotify.com/artist/1LOeaOZCreokgQaauWT5rV,,78322,k-indie,korean pop,https://api.spotify.com/v1/artists/1LOeaOZCreokgQaauWT5rV,1LOeaOZCreokgQaauWT5rV,640,https://i.scdn.co/image/ab67616d0000b273d0f7846911c2141a720a5988,640,300,https://i.scdn.co/image/ab67616d00001e02d0f7846911c2141a720a5988,300,64,https://i.scdn.co/image/ab67616d00004851d0f7846911c2141a720a5988,64,MoonMoon,47,artist,spotify:artist:1LOeaOZCreokgQaauWT5rV,,,,,,,,,,,,
https://open.spotify.com/artist/3u9xBa2fe8b9jPf5JYFRH3,,106822,k-pop,k-pop boy group,https://api.spotify.com/v1/artists/3u9xBa2fe8b9jPf5JYFRH3,3u9xBa2fe8b9jPf5JYFRH3,640,https://i.scdn.co/image/00618d8924a276646d2a743ab4927a09fd16c755,640,320,https://i.scdn.co/image/4af933ede7e968620fc18478b61bd259d8df0fe8,320,160,https://i.scdn.co/image/94b2d8f82e5cf006dff939110b783794287d9da9,160,1TEAM,43,artist,spotify:artist:3u9xBa2fe8b9jPf5JYFRH3,,,,,,,,,,,,
